FNAME,LNAME,SID,GENDER,AGE,ADDRESS_AREA,ADDRESS_ROAD,ADDRESS_BUILDING,ADDRESS-ROOM,PHONE,SUBJECT,,,,,,,CREDITS
Chan,Tai Tai,10220001,F,20,Southern District,1ST LANE KEI LUN WAI,Backingham Building金漢大廈,1000,17828755,Associate of Geography,,,,,,,20
Chan,Tai Zung,10220002,F,20,Wan Chai District,2ND LANE KEI LUN WAI,Baguio Villa碧瑤灣,1001,13103385,Associate of Social Sciences,,,,,,,20
Chan,Tai Siu,10220003,F,19,Eastern District,3RD LANE KEI LUN WAI,Banyan Garden泓景臺,1002,19760548,Higher Diploma in Dental Hygiene,,,,,,,20
Chan,Tai Jat,10220004,F,18,Southern District,4TH LANE KEI LUN WAI,Banyan Mall泓景滙,1003,12260505,Associate of Business Administration,,,,,,,20
Chan,Tai Ji,10220005,F,22,Yau Tsim Mong District,5TH LANE KEI LUN WAI,Banyan Villas榕蔭園,1004,10246937,Associate of Social Sciences,,,,,,,20
Chan,Tai Saam,10220006,F,20,Sham Shui Po District,A KUNG KOK SHAN ROAD,Bao Hua Building保華大廈,1005,17687067,Associate of Geography,,,,,,,20
Chan,Tai Sam,10220007,F,19,Kowloon City District,A KUNG KOK STREET,Bailey Garden碧麗花園,1006,18194438,Higher Diploma in Engineering,,,,,,,20
Chan,Tai Man,10220008,F,22,Wong Tai Sin District,A KUNG NGAM ROAD,Baily Court百利軒,1007,17463164,Higher Diploma in Architectural Studies,,,,,,,20
Chan,Tai Tin,10220009,F,19,Kwun Tong District,A KUNG NGAM VILLAGE LANE,Baker Residences御悅,1008,13433417,Higher Diploma in Information Security,,,,,,,20
Chan,Tai Koeng,10220010,F,17,Tsuen Wan District,A KUNG NGAM VILLAGE ROAD,Baker View東海雅園,1009,17787542,Higher Diploma in Public Relations and Corporate Communications,,,,,,,20
Chan,Zung Tai,10220011,M,18,Tuen Mun District,ABERDEEN MAIN ROAD,Beach Pointe海灣閣,1010,17496484,Higher Diploma in eSports,,,,,,,20
Chan,Zung Zung,10220012,F,22,Yuen Long District,ABERDEEN PRAYA ROAD,Beacon Heights畢架山花園,1011,11573623,Higher Diploma in Data Science,,,,,,,20
Chan,Zung Siu,10220013,F,20,North District,ABERDEEN RESERVOIR ROAD,Bel Mount Garden百麗花園,1012,11791418,Higher Diploma in Translation and Interpretation,,,,,,,20
Chan,Zung Jat,10220014,F,18,Tai Po District,ABERDEEN STREET,Bel Shine Centre百營中心,1013,19434402,Higher Diploma in Engineering,,,,,,,20
Chan,Zung Ji,10220015,M,22,Sai Kung District,ABERDEEN TUNNEL,Bel Trade Commercial Building百營商業大廈,1014,11766194,Higher Diploma in eSports,,,,,,,20
Chan,Zung Saam,10220016,M,22,Sha Tin District,ADMINISTRATION ROAD,Bel-Air House衛德臺,1015,11834242,Associate of Arts in English Language and Literature,,,,,,,20
Chan,Zung Sam,10220017,F,19,Kwai Tsing District,ADMINISTRATION ROAD,Belaire Heights碧儷閣,1016,13756184,Associate of Science,,,,,,,20
Chan,Zung Man,10220018,M,17,Central and Western District,AH KUNG WAN ROAD,Belcher Court寶翠閣,1017,18981875,Higher Diploma in Data Science,,,,,,,20
Chan,Zung Tin,10220019,F,19,Wan Chai District,AIRPORT EXPO BOULEVARD,Belcher's Hill寶雅山,1018,19087228,Associate of Engineering,,,,,,,20
Chan,Zung Koeng,10220020,M,18,Eastern District,AIRPORT NORTH INTERCHANGE,Belfran Court巴芬閣,1019,10228700,Higher Diploma in New Media and Communication,,,,,,,20
Chan,Siu Tai,10220021,M,22,Southern District,AIRPORT ROAD,Belfran Mansion福園,1020,14627334,Higher Diploma in Marketing,,,,,,,20
Chan,Siu Zung,10220022,F,19,Yau Tsim Mong District,AIRPORT SOUTH INTERCHANGE,Belfran Peak,1021,19335599,Higher Diploma in Architectural Studies,,,,,,,20
Chan,Siu Siu,10220023,M,19,Sham Shui Po District,ALBANY ROAD,Belgian Bank Building華比銀行大廈,1022,18046654,Associate of Business Administration,,,,,,,20
Chan,Siu Jat,10220024,M,21,Kowloon City District,ALBERT PATH,Belgravia,1023,11789761,Higher Diploma in Geotechnical Engineering,,,,,,,20
Chan,Siu Ji,10220025,F,18,Wong Tai Sin District,ALDRICH BAY ROAD,Belgravia Heights碧濤閣,1024,13643945,Higher Diploma in Information Security,,,,,,,20
Chan,Siu Saam,10220026,F,17,Kwun Tong District,ALDRICH STREET,Sai Wan Estate,1025,17746321,Associate of Engineering,,,,,,,20
Chan,Siu Sam,10220027,M,19,Tsuen Wan District,ALGAR COURT,Central & Western,1026,19569535,Higher Diploma in Aviation Studies,,,,,,,20
Chan,Siu Man,10220028,M,17,Tuen Mun District,ALNWICK ROAD,Chai Wan Estate,1027,16861327,Associate of Arts in Legal Studies,,,,,,,20
Chan,Siu Tin,10220029,F,21,Yuen Long District,ALTUS LINK,Wah Ha Estate,1028,18157459,Associate of Arts in Languages and Humanities,,,,,,,20
